Wertstellung;Buchungstext;Auftraggeber / Begünstigter;Verwendungszweck;Kontonummer;BLZ;Betrag (EUR);Gläubiger-ID;Mandatsreferenz
02.01.20;Gutschrift;Wohnung_02;LAK2-046 Hausgeld;DE0003555555555555555;BYLADEM1001;242,61;;
02.01.20;Gutschrift;Wohnung_05;Hausverwaltung;DE0006555555555555555;GENODEM1SLN;200;;
03.01.20;Lastschrift;GC re LCG Energy GmbH;                       AWV-MELDEPFLICHT BEACHTEN  HOTLINE BUNDESBANK:        (0800) 1234-111;GB98BARC20175583633777;BARCGB22XXX;-1438,67;GB07ZZZSDDBARC0000007495896081                   ;SDBS72               
03.01.20;Lastschrifteinzug;Wohnung_01;D5X5E05DADA09E32 HG 01/2020 LAK2-006 Wohnung_01                 DATUM 27.12.2019, 11.28 UHR1.TAN 169538;DE0001555555555555555;WELADE3LXXX;262,87;;
03.01.20;Lastschrifteinzug;Wohnung_03;D5Q5E05DAD9EDAF0 HG 01/2020 LAK2-002 Wohnung_03                          DATUM 27.12.2019, 11.28 UHR1.TAN 169538;DE0004555555555555555;DGPBDE3MXXX;242,44;;
03.01.20;Lastschrifteinzug;Wohnung_37;D9Y5E05DADC62EB8 HG 01/2020 LAK2-037                       DATUM 27.12.2019, 11.28 UHR1.TAN 169538;DE0008555555555555555;GENODED1ASN;255,61;;
03.01.20;Lastschrifteinzug;Wohnung_24;DSI5E05DADB8621F HG 01/2020 LAK2-024 Wohnung_24                      DATUM 27.12.2019, 11.28 UHR1.TAN 169538;DE0022555555555555555;WELADE3LXXX;310,87;;
03.01.20;Lastschrifteinzug;Wohnung_19;D7R5E05DADB260B5 HG 01/2020 LAK2-019 Kzritzwik, Eduard                        DATUM 27.12.2019, 11.28 UHR1.TAN 169538;DE0031555555555555555;GENODEM1SLN;226,87;;
03.01.20;Lastschrifteinzug;Wohnung_19;DW75E05DADA18B86 HG 01/2020 LAK2-007 Kzritzwik, Vitali                        DATUM 27.12.2019, 11.28 UHR1.TAN 169538;DE0031555555555555555;GENODEM1SLN;225,87;;
06.01.20;Dauerauftrag;Landlordgate;Verwalterhonorar;DE0007555555555555555;NOLADE21MEL;-2750,7;;
07.01.20;Überweisung;WischUndDreck;Re 5137-19, Muster-Str.2, Treppenhausreinigung                       DATUM 06.01.2020, 18.03 UHR1.TAN 233046;DE0019555555555555555;GENODEM1EWB;-559,3;;
09.01.20;Lastschrift;Telekom Deutschland GmbH;Festnetz Vertragskonto 5612412723 RG 7408330857/30.12.2019;DE0038555555555555555;PBNKDEFFXXX;-19,94;DE93ZZZ00000078611    ;DE001873774954            
15.01.20;Überweisung;Sandra Hochtrocken;'R                    DATUM 15.01.2020, 13.45 UHR1.TAN 169091;DE0024555555555555555;BYLADEM1001;-396;;
15.01.20;Überweisung;Sandra Hochtrocken;Re 2020-1, Drewes-    DATUM 15.01.2020, 13.45 UHR1.TAN 169091;DE0024555555555555555;BYLADEM1001;-396;;
15.01.20;Überweisung;Sandra Hochtrocken;Re 2020-1, Drewes-Hausgeld                       DATUM 15.01.2020, 13.40 UHR1.TAN 010885;DE0024555555555555555;BYLADEM1001;-396;;
16.01.20;Gutschrift;Wohnung_04;WEG Muster-Stra?e 2 Drewes 19-2747172-0-6;DE0005555555555555555;WELADED1HXB;350;;
20.01.20;Lastschrift;ista Deutschland GmbH;ReNr 52420182/3.1.2020Muster-Strasse 2 3;DE0035555555555555555;DRESDEFF400;-776,17;DE84ZZZ00000119513    ;DE017618009-RTW   
20.01.20;Gutschrift;Sandra Hochtrocken;'R                    ABWA+WEG Muster-Str. 2,BAD Quelllippe;DE0024555555555555555;BYLADEM1001;396;;
20.01.20;Gutschrift;Sandra Hochtrocken;Re 2020-1, Drewes-Hausgeld                       ABWA+WEG Muster-Str. 2,BAD Quelllippe;DE0024555555555555555;BYLADEM1001;396;;
